,win_rate_bm,games_played_bm,games_won_bm,win_rate_last_3_bm,win_rate_last_5_bm,win_rate_last_8_bm,win_rate_last_10_bm,win_streak_3_bm,win_streak_5_bm,opp_win_rate_bm,opp_games_played_bm,opp_games_won_bm,opp_win_rate_last_3_bm,opp_win_rate_last_5_bm,opp_win_rate_last_8_bm,opp_win_rate_last_10_bm,opp_win_streak_3_bm,opp_win_streak_5_bm,team_wins
32,0.3333333333333333,9.0,3.0,0.0,0.2,0.25,,0.0,0.0,0.8205128205128205,39.0,32.0,1.0,0.8,0.625,0.7,1.0,0.0,False
33,0.3,10.0,3.0,0.0,0.2,0.25,0.3,0.0,0.0,0.5,2.0,1.0,,,,,,,False
34,0.2727272727272727,11.0,3.0,0.0,0.0,0.25,0.2,0.0,0.0,,,,,,,,,,True
35,0.3333333333333333,12.0,4.0,0.3333333333333333,0.2,0.25,0.3,0.0,0.0,0.5,2.0,1.0,,,,,,,False
36,0.3076923076923077,13.0,4.0,0.3333333333333333,0.2,0.25,0.3,0.0,0.0,0.631578947368421,38.0,24.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,False
37,0.2857142857142857,14.0,4.0,0.3333333333333333,0.2,0.125,0.2,0.0,0.0,0.5,10.0,5.0,0.3333333333333333,0.2,0.375,0.5,0.0,0.0,False
38,0.26666666666666666,15.0,4.0,0.0,0.2,0.125,0.2,0.0,0.0,,,,,,,,,,True
39,0.3125,16.0,5.0,0.3333333333333333,0.4,0.25,0.2,0.0,0.0,0.6,15.0,9.0,1.0,0.8,0.625,0.6,1.0,0.0,True
40,0.35294117647058826,17.0,6.0,0.6666666666666666,0.4,0.375,0.3,0.0,0.0,0.4444444444444444,18.0,8.0,1.0,0.8,0.625,0.5,1.0,0.0,True
41,0.3888888888888889,18.0,7.0,1.0,0.6,0.5,0.4,1.0,0.0,0.7972972972972973,74.0,59.0,0.6666666666666666,0.8,0.625,0.6,0.0,0.0,False
42,0.3684210526315789,19.0,7.0,0.6666666666666666,0.6,0.5,0.4,0.0,0.0,0.5263157894736842,19.0,10.0,0.3333333333333333,0.2,0.5,0.5,0.0,0.0,True
43,0.4,20.0,8.0,0.6666666666666666,0.8,0.5,0.5,0.0,0.0,0.5238095238095238,21.0,11.0,0.3333333333333333,0.4,0.375,0.5,0.0,0.0,True
44,0.42857142857142855,21.0,9.0,0.6666666666666666,0.8,0.625,0.6,0.0,0.0,0.6779661016949152,59.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,False
45,0.4090909090909091,22.0,9.0,0.6666666666666666,0.6,0.625,0.5,0.0,0.0,0.6470588235294118,34.0,22.0,0.6666666666666666,0.6,0.75,0.8,0.0,0.0,False
46,0.391304347826087,23.0,9.0,0.3333333333333333,0.4,0.625,0.5,0.0,0.0,0.8148148148148148,54.0,44.0,1.0,0.8,0.875,0.9,1.0,0.0,True
47,0.4166666666666667,24.0,10.0,0.3333333333333333,0.6,0.625,0.6,0.0,0.0,0.8076923076923077,78.0,63.0,1.0,0.8,0.875,0.8,1.0,0.0,True
48,0.44,25.0,11.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,0.6595744680851063,47.0,31.0,0.6666666666666666,0.6,0.625,0.6,0.0,0.0,True
49,0.46153846153846156,26.0,12.0,1.0,0.6,0.625,0.7,1.0,0.0,0.813953488372093,86.0,70.0,1.0,1.0,0.875,0.9,1.0,1.0,True
50,0.48148148148148145,27.0,13.0,1.0,0.8,0.75,0.7,1.0,0.0,0.8035714285714286,56.0,45.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,True
51,0.5,28.0,14.0,1.0,1.0,0.75,0.7,1.0,1.0,0.6578947368421053,38.0,25.0,0.6666666666666666,0.6,0.75,0.7,0.0,0.0,True
52,0.5172413793103449,29.0,15.0,1.0,1.0,0.75,0.8,1.0,1.0,0.7758620689655172,58.0,45.0,0.3333333333333333,0.4,0.625,0.6,0.0,0.0,False
53,0.5,30.0,15.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,0.46153846153846156,13.0,6.0,0.6666666666666666,0.6,0.5,0.5,0.0,0.0,True
54,0.5161290322580645,31.0,16.0,0.6666666666666666,0.8,0.875,0.7,0.0,0.0,0.5882352941176471,34.0,20.0,0.3333333333333333,0.4,0.5,0.6,0.0,0.0,True
55,0.53125,32.0,17.0,0.6666666666666666,0.8,0.875,0.8,0.0,0.0,0.375,8.0,3.0,0.3333333333333333,0.4,0.375,,0.0,0.0,True
56,0.5454545454545454,33.0,18.0,1.0,0.8,0.875,0.9,1.0,0.0,,,,,,,,,,True
57,0.5588235294117647,34.0,19.0,1.0,0.8,0.875,0.9,1.0,0.0,0.38461538461538464,13.0,5.0,0.3333333333333333,0.2,0.25,0.4,0.0,0.0,False
58,0.5428571428571428,35.0,19.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,,,,,,,,,,True
59,0.5555555555555556,36.0,20.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,,,,,,,,,,True
60,0.5675675675675675,37.0,21.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,0.25,4.0,1.0,0.3333333333333333,,,,0.0,,True
61,0.5789473684210527,38.0,22.0,1.0,0.8,0.875,0.8,1.0,0.0,0.25,4.0,1.0,0.0,,,,0.0,,True
62,0.5897435897435898,39.0,23.0,1.0,0.8,0.875,0.8,1.0,0.0,0.725,40.0,29.0,1.0,0.8,0.625,0.7,1.0,0.0,True
63,0.6,40.0,24.0,1.0,1.0,0.875,0.9,1.0,1.0,0.6346153846153846,52.0,33.0,0.3333333333333333,0.4,0.625,0.7,0.0,0.0,False
64,0.5853658536585366,41.0,24.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,0.6818181818181818,110.0,75.0,0.6666666666666666,0.8,0.625,0.6,0.0,0.0,True
65,0.5952380952380952,42.0,25.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,0.7831325301204819,83.0,65.0,0.6666666666666666,0.8,0.875,0.7,0.0,0.0,False
66,0.5813953488372093,43.0,25.0,0.3333333333333333,0.6,0.75,0.7,0.0,0.0,0.6739130434782609,46.0,31.0,1.0,1.0,0.875,0.8,1.0,1.0,False
67,0.5681818181818182,44.0,25.0,0.3333333333333333,0.4,0.625,0.6,0.0,0.0,0.7980769230769231,104.0,83.0,1.0,1.0,0.875,0.9,1.0,1.0,True
68,0.5777777777777777,45.0,26.0,0.3333333333333333,0.4,0.625,0.7,0.0,0.0,0.6612903225806451,62.0,41.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,True
69,0.5869565217391305,46.0,27.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,0.672566371681416,113.0,76.0,0.3333333333333333,0.4,0.625,0.6,0.0,0.0,True
70,0.5957446808510638,47.0,28.0,1.0,0.6,0.625,0.7,1.0,0.0,0.6078431372549019,51.0,31.0,1.0,0.6,0.75,0.8,1.0,0.0,False
71,0.5833333333333334,48.0,28.0,0.6666666666666666,0.6,0.5,0.6,0.0,0.0,0.6206896551724138,58.0,36.0,0.6666666666666666,0.4,0.375,0.5,0.0,0.0,True
72,0.5918367346938775,49.0,29.0,0.6666666666666666,0.8,0.625,0.6,0.0,0.0,0.6395348837209303,86.0,55.0,0.0,0.4,0.5,0.6,0.0,0.0,True
73,0.6,50.0,30.0,0.6666666666666666,0.8,0.625,0.6,0.0,0.0,0.7816091954022989,87.0,68.0,0.6666666666666666,0.8,0.75,0.8,0.0,0.0,False
74,0.5882352941176471,51.0,30.0,0.6666666666666666,0.6,0.625,0.6,0.0,0.0,0.6666666666666666,117.0,78.0,0.6666666666666666,0.6,0.375,0.5,0.0,0.0,False
75,0.5769230769230769,52.0,30.0,0.3333333333333333,0.4,0.625,0.5,0.0,0.0,0.14285714285714285,7.0,1.0,0.0,0.2,,,0.0,0.0,True
